postcode	suburb	no_permits	opacity	type	cost_of_works
3130	BLACKBURN	524	1.0480	Metropolitan	89286369
3131	FOREST HILL	346	0.6920	Metropolitan	60698278
3132	MITCHAM	239	0.4780	Metropolitan	34090010
3133	VERMONT	221	0.4420	Metropolitan	36909907
3134	MOUNT EVELYN	447	0.8940	Metropolitan	80552413
3135	HEATHMONT	283	0.5660	Metropolitan	34269371
3136	CROYDON	608	1.2160	Metropolitan	107182540
3137	KILSYTH	205	0.4100	Metropolitan	23700047
3138	MOOROOLBARK	361	0.7220	Metropolitan	49853148
3139	BEENAK	201	0.4020	Metropolitan	21615564
3140	LILYDALE	317	0.6340	Metropolitan	47861900
3141	SOUTH YARRA	363	0.7260	Metropolitan	307023270
3142	HAWKSBURN	247	0.4940	Metropolitan	133453065
3143	ARMADALE	149	0.2980	Metropolitan	57627010
3144	KOOYONG	209	0.4180	Metropolitan	73443500
3145	CAULFIELD EAST	402	0.8040	Metropolitan	98287473
3146	GLEN  IRIS	461	0.9220	Metropolitan	176770900
3147	ASHBURTON	300	0.6000	Metropolitan	87397822
3148	CHADSTONE	216	0.4320	Metropolitan	95529931
3149	MOUNT WAVERLEY	547	1.0940	Metropolitan	114187013
3150	GLEN WAVERLEY	757	1.5140	Metropolitan	162339008
3151	BURWOOD	84	0.1680	Metropolitan	14095022
3152	KNOX CITY CENTRE	387	0.7740	Metropolitan	80762137
3153	BAYSWATER	262	0.5240	Metropolitan	50937874
3154	THE BASIN	49	0.0980	Metropolitan	2528930
3155	BORONIA	270	0.5400	Metropolitan	54268602
3156	FERNTREE GULLY	526	1.0520	Metropolitan	79530569
3158	UPWEY	83	0.1660	Metropolitan	17404212
3159	MENZIES CREEK	27	0.0540	Metropolitan	1999195
3160	BELGRAVE	109	0.2180	Metropolitan	12464469
3161	CAULFIELD NORTH	186	0.3720	Metropolitan	43309105
3162	CAULFIELD	289	0.5780	Metropolitan	68060342
3163	CARNEGIE	373	0.7460	Metropolitan	74610514
3164	DANDENONG SOUTH	19	0.0380	Metropolitan	17015163
3165	BENTLEIGH EAST	477	0.9540	Metropolitan	72074287
3166	HUGHESDALE	300	0.6000	Metropolitan	56794837
3167	OAKLEIGH SOUTH	113	0.2260	Metropolitan	15092260
3168	CLAYTON	279	0.5580	Metropolitan	101722498
3169	CLARINDA	166	0.3320	Metropolitan	46398685
3170	MULGRAVE	300	0.6000	Metropolitan	54803959
3171	SPRINGVALE	256	0.5120	Metropolitan	63299752
3172	Dingley	132	0.2640	Metropolitan	20436500
3173	KEYSBOROUGH	429	0.8580	Metropolitan	96721921
3174	NOBLE PARK	282	0.5640	Metropolitan	74253063
3175	BANGHOLME	671	1.3420	Metropolitan	312082646
3177	DOVETON	81	0.1620	Metropolitan	30729502
3178	ROWVILLE	402	0.8040	Metropolitan	43223552
3179	SCORESBY	76	0.1520	Metropolitan	16966011
3180	KNOXFIELD	112	0.2240	Metropolitan	17993459
3181	PRAHRAN	251	0.5020	Metropolitan	80523212
3182	ST KILDA	234	0.4680	Metropolitan	73824167
3183	BALACLAVA	155	0.3100	Metropolitan	46712474
3184	ELWOOD	173	0.3460	Metropolitan	38177814
3185	ELSTERNWICK	219	0.4380	Metropolitan	52933315
3186	BRIGHTON	579	1.1580	Metropolitan	184378336
3187	BRIGHTON EAST	312	0.6240	Metropolitan	72331924
3188	HAMPTON	399	0.7980	Metropolitan	87982998
3189	MOORABBIN	141	0.2820	Metropolitan	49552683
3190	HIGHETT	152	0.3040	Metropolitan	20760874
3191	SANDRINGHAM	200	0.4000	Metropolitan	61983597
3192	CHELTENHAM	362	0.7240	Metropolitan	47369443
3193	BEAUMARIS	361	0.7220	Metropolitan	72673483
3194	MENTONE	224	0.4480	Metropolitan	61241222
3195	ASPENDALE	587	1.1740	Metropolitan	121057493
3196	BONBEACH	388	0.7760	Metropolitan	66340502
3197	CARRUM	175	0.3500	Metropolitan	24588861
3198	SEAFORD	187	0.3740	Metropolitan	29467383
3199	FRANKSTON	690	1.3800	Metropolitan	119290869
3200	FRANKSTON NORTH	42	0.0840	Metropolitan	9606520
3201	CARRUM DOWNS	377	0.7540	Metropolitan	60181523
3202	HEATHERTON	33	0.0660	Metropolitan	40432748
3204	BENTLEIGH	561	1.1220	Metropolitan	104523231
3205	SOUTH MELBOURNE	202	0.4040	Metropolitan	121124867
3206	ALBERT PARK	222	0.4440	Metropolitan	112330836
3207	PORT MELBOURNE	260	0.5200	Metropolitan	86922982
3211	LITTLE RIVER	35	0.0700	Metropolitan	3892277
3212	AVALON	449	0.8980	Metropolitan	87150364
3214	CORIO	237	0.4740	Rural	33794349
3215	BELL PARK	299	0.5980	Rural	38209718
3216	BELMONT	1077	2.1540	Metropolitan	199501863
3218	GEELONG WEST	252	0.5040	Rural	36430567
3219	BREAKWATER	326	0.6520	Metropolitan	38836862
3220	GEELONG	510	1.0200	Metropolitan	122253596
3221	ANAKIE	244	0.4880	Rural	40058039
